"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@janayaish","Gloria Restrepo","PESADILLA: La #PolicíadeEEUU está usando #Drones para espiar a los estadounidenses en sus propios #Patios. El Jefe de la Policía dice que la INVASIÓN A LA #PRIVACIDAD vale la pena si ""esto contribuye a salvar una vida"". (#Hilo) https://t.co/UIQblyAXfv","0","2","1","1587387333000","20 Apr 2020","janayaish/status/1252219352310571008","https://twitter.com/search?lang=en&q=drone&src=typed_query","PolicíadeEEUU | Drones | Patios | PRIVACIDAD | Hilo"
"@drone_liverpool","Rotorgraphic Imaging Solutions","Bye, then. BBC News - Coronavirus: Virgin Atlantic will fold without aid, warns Branson https://t.co/OOtYTdkt5R","0","0","0","1587386689000","20 Apr 2020","drone_liverpool/status/1252216651979816963","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@jazzpote","jazzpote","@PhDavidMtb Le tir aux drones un nouveau sport pour les banlieues","0","0","0","1587386750000","20 Apr 2020","jazzpote/status/1252216905953349634","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@LissaGirlOnFire","Lissa","@jason_howerton Drones would be great practice for Skeet. Fly by my house and see.","0","0","1","1587387337000","20 Apr 2020","LissaGirlOnFire/status/1252219371155578880","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@hamstergod80","hamstergod80","@TheMacroShow when cryptos drone gets destroyed how does he get a second one does he have infinite","0","0","0","1587386956000","20 Apr 2020","hamstergod80/status/1252217773608050690","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Valentina_NSFW","MissValentina","@103Myt Good Drone...beg for it~","1","0","0","1587386634000","20 Apr 2020","Valentina_NSFW/status/1252216423176429570","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@admrl2","Anne DM, matricule 323","On n'a pas de #masques, pas de #tests, et bientôt pas assez de #medicaments pour les personnes en réanimation, mais on a des #drones et des #LBD40. #toutvabien #Macronie #FDGGeant https://t.co/lDJLBgHe04","0","0","0","1587385747000","20 Apr 2020","admrl2/status/1252212702241591297","https://twitter.com/search?lang=en&q=drone&src=typed_query","masques | tests | medicaments | drones | LBD40 | toutvabien | Macronie | FDGGeant"
"@urufu2005","DroneWolf","@kuritai_kouya リプ失礼します！今回開かれるスクワッド交流戦の確定枠を頂きに来ました！🥀 チーム名￤Drone 代表者￤@urufu2005 コピペ￤urufu2005 ご検討よろしくお願いします！","0","0","1","1587386112000","20 Apr 2020","urufu2005/status/1252214232705196032","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@NavalDrones","Chris R","@jason_bailey @ConsWahoo @JerryHendrixII Zero, really? They couldn't do MIO, ASUW, or ISR? And and I didn't say no AAW, just not a high end radar.","0","0","0","1587387549000","20 Apr 2020","NavalDrones/status/1252220259244953602","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@dronevideograph","Drone Prince","FAA Lacks Sufficient Security Controls and Contingency Planning for Its DroneZone System #drone https://t.co/DxqKXVtJHk","0","0","0","1587385808000","20 Apr 2020","dronevideograph/status/1252212955363577859","https://twitter.com/search?lang=en&q=drone&src=typed_query","drone"
"@DroneOwnerWa","Doug Cox","@Barnaby_Joyce By the way your appearance has changed quite a bit recently. You should consider a more honest representation of yourself in your profile and banner pictures. #Turnbull","0","0","0","1587385790000","20 Apr 2020","DroneOwnerWa/status/1252212882235768833","https://twitter.com/search?lang=en&q=drone&src=typed_query","Turnbull"
